game_id,round,season,encounter_cards_revealed,burdens_revealed_this_round,burden_applications_this_round,no_valid_target_burden_applications_this_round,strain_attempted_this_round,strain_placed_this_round,strain_prevented_by_supported_this_round,strain_removed_this_round,active_burdens_end_of_round,total_strain_tokens_end_of_round,tiles_at_1_strain_end_of_round,tiles_at_2_strain_end_of_round,overstrained_tiles_end_of_round,population_end_of_round,renown_end_of_round
sim-balanced-1p-005,9,III,1,0,0,0,0,0,0,0,1,0,0,0,0,34,61
sim-balanced-1p-005,10,III,1,0,0,0,0,0,0,0,1,0,0,0,0,41,61
sim-balanced-1p-005,11,III,1,1,1,0,3,3,0,0,2,3,3,0,0,46,62
sim-balanced-1p-005,12,III,1,1,1,1,0,0,0,0,3,3,3,0,0,52,63
sim-balanced-2p-005,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-005,2,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
sim-balanced-2p-005,3,I,2,1,1,0,1,1,0,0,0,1,1,0,0,0,20
sim-balanced-2p-005,4,I,2,0,0,0,0,0,0,0,0,1,1,0,0,0,20
sim-balanced-2p-005,5,II,2,0,0,0,0,0,0,0,0,1,1,0,0,19,25
sim-balanced-2p-005,6,II,2,2,2,2,1,1,0,0,1,2,2,0,0,24,56
sim-balanced-2p-005,7,II,2,0,0,0,1,1,0,0,0,3,3,0,0,24,71
sim-balanced-2p-005,8,II,2,2,4,2,4,3,1,0,2,6,6,0,0,24,86
sim-balanced-2p-005,9,III,2,0,0,0,1,0,1,0,2,6,6,0,0,34,86
sim-balanced-2p-005,10,III,2,1,1,0,2,2,0,3,2,5,5,0,0,45,88
sim-balanced-2p-005,11,III,2,1,1,0,1,1,0,0,3,6,6,0,0,67,89
sim-balanced-2p-005,12,III,2,1,1,0,2,2,0,1,3,7,7,0,0,67,89
sim-balanced-3p-005,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-005,2,I,3,1,1,1,0,0,0,0,0,0,0,0,0,5,56
sim-balanced-3p-005,3,I,3,0,0,0,2,2,0,0,0,2,2,0,0,10,61
sim-balanced-3p-005,4,I,3,0,0,0,0,0,0,0,0,2,2,0,0,20,66
sim-balanced-3p-005,5,II,3,0,0,0,0,0,0,0,0,2,2,0,0,25,71
sim-balanced-3p-005,6,II,3,1,1,1,0,0,0,0,0,2,2,0,0,25,71
sim-balanced-3p-005,7,II,3,0,0,0,0,0,0,0,0,2,2,0,0,30,72
sim-balanced-3p-005,8,II,3,3,4,4,1,1,0,0,1,3,3,0,0,30,81
sim-balanced-3p-005,9,III,3,1,1,0,3,3,0,0,0,6,1,1,1,35,80
sim-balanced-3p-005,10,III,3,2,2,1,2,2,0,1,0,5,3,1,0,35,81
sim-balanced-3p-005,11,III,3,2,2,1,3,3,0,0,2,8,6,1,0,67,87
sim-balanced-3p-005,12,III,3,2,2,1,3,3,0,0,4,11,9,1,0,80,89
sim-balanced-4p-005,1,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-005,2,I,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-005,3,I,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-005,4,I,4,0,0,0,1,0,1,0,0,0,0,0,0,30,61
sim-balanced-4p-005,5,II,4,0,0,0,1,1,0,0,0,1,1,0,0,35,116
sim-balanced-4p-005,6,II,4,0,0,0,0,0,0,0,0,1,1,0,0,35,130
sim-balanced-4p-005,7,II,4,0,0,0,2,1,1,0,0,1,1,0,0,35,144
sim-balanced-4p-005,8,II,4,4,7,5,5,3,2,0,3,4,2,1,0,45,149
sim-balanced-4p-005,9,III,4,1,1,1,2,1,1,1,3,4,4,0,0,50,154
sim-balanced-4p-005,10,III,4,3,3,0,7,3,4,2,4,5,5,0,0,80,155
sim-balanced-4p-005,11,III,4,2,2,1,3,2,1,0,5,7,7,0,0,102,155
sim-balanced-4p-005,12,III,4,3,3,1,4,3,1,0,6,10,6,2,0,112,175
sim-balanced-1p-006,1,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-006,2,I,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0
sim-balanced-1p-006,3,I,1,0,0,0,0,0,0,0,0,0,0,0,0,29,20
sim-balanced-1p-006,4,I,1,0,0,0,0,0,0,0,0,0,0,0,0,29,35
sim-balanced-1p-006,5,II,1,0,0,0,0,0,0,0,0,0,0,0,0,29,35
sim-balanced-1p-006,6,II,1,0,0,0,0,0,0,0,0,0,0,0,0,29,35
sim-balanced-1p-006,7,II,1,0,0,0,0,0,0,0,0,0,0,0,0,29,35
sim-balanced-1p-006,8,II,1,1,2,0,5,4,0,0,1,4,1,0,1,29,35
sim-balanced-1p-006,9,III,1,1,1,1,0,0,0,0,1,4,1,0,1,29,35
sim-balanced-1p-006,10,III,1,1,1,1,0,0,0,0,1,4,1,0,1,34,35
sim-balanced-1p-006,11,III,1,1,1,0,3,3,0,0,1,7,2,1,1,34,35
sim-balanced-1p-006,12,III,1,1,1,0,2,1,1,0,1,8,3,1,1,39,35
sim-balanced-2p-006,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-006,2,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-006,3,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20
sim-balanced-2p-006,4,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-2p-006,5,II,2,0,0,0,0,0,0,0,0,0,0,0,0,34,65
sim-balanced-2p-006,6,II,2,1,1,1,2,2,0,0,1,2,2,0,0,34,81
sim-balanced-2p-006,7,II,2,0,0,0,0,0,0,0,1,2,2,0,0,34,81
sim-balanced-2p-006,8,II,2,2,5,4,2,2,0,0,3,4,0,2,0,34,92
sim-balanced-2p-006,9,III,2,0,0,0,4,2,0,0,1,6,0,0,2,40,93
sim-balanced-2p-006,10,III,2,2,2,1,3,2,1,0,0,8,2,0,2,40,93
sim-balanced-2p-006,11,III,2,1,1,1,0,0,0,0,0,8,2,0,2,45,93
sim-balanced-2p-006,12,III,2,2,2,2,0,0,0,0,0,8,2,0,2,60,103
sim-balanced-3p-006,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-006,2,I,3,2,2,1,1,1,0,0,0,1,1,0,0,0,30
sim-balanced-3p-006,3,I,3,0,0,0,0,0,0,0,0,1,1,0,0,0,30
sim-balanced-3p-006,4,I,3,0,0,0,0,0,0,0,0,1,1,0,0,5,45
sim-balanced-3p-006,5,II,3,0,0,0,1,1,0,0,0,2,2,0,0,20,62
sim-balanced-3p-006,6,II,3,1,1,0,2,2,0,0,0,3,1,1,0,30,73
sim-balanced-3p-006,7,II,3,0,0,0,0,0,0,1,0,2,2,0,0,35,101
sim-balanced-3p-006,8,II,3,3,4,1,4,2,2,0,1,4,2,1,0,35,101
sim-balanced-3p-006,9,III,3,0,0,0,0,0,0,1,1,3,3,0,0,62,106
sim-balanced-3p-006,10,III,3,1,1,1,0,0,0,0,1,2,2,0,0,62,111
sim-balanced-3p-006,11,III,3,1,1,0,3,2,1,0,2,4,4,0,0,103,116
sim-balanced-3p-006,12,III,3,2,2,0,4,4,0,0,3,7,5,1,0,117,149
sim-balanced-4p-006,1,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-006,2,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-006,3,I,4,1,1,0,5,5,0,0,0,5,5,0,0,0,58
sim-balanced-4p-006,4,I,4,2,4,4,1,1,0,0,2,6,6,0,0,5,97
sim-balanced-4p-006,5,II,4,0,0,0,1,1,0,0,0,7,7,0,0,5,102
sim-balanced-4p-006,6,II,4,1,1,1,2,2,0,0,0,9,9,0,0,10,107
sim-balanced-4p-006,7,II,4,0,0,0,2,2,0,0,0,11,11,0,0,10,134
sim-balanced-4p-006,8,II,4,4,4,2,4,3,1,1,0,13,11,1,0,10,151
sim-balanced-4p-006,9,III,4,0,0,0,0,0,0,0,0,13,11,1,0,40,172
sim-balanced-4p-006,10,III,4,2,2,2,0,0,0,2,0,11,11,0,0,62,172
