game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-3p-009,playtester-bot-balance-2026-06-13-deal-09-3p,3,balanced,237,107,164,41,22,20,37,87,97,32,2,3,7,1,4,15,11,2,9,9,6,15,14,1,0,0,22,7,0,7,2,1,2,6,7,79,1,40,66,63,63,0,0,0,8,0,4,2,9,9,9,7,7,5,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,14,0,60,6,38,45,79,0,3,0,44,28
sim-balanced-4p-009,playtester-bot-balance-2026-06-13-deal-09-4p,4,balanced,186,60,166,43,15,45,81,15,40,12,1,0,2,9,0,0,8,4,15,16,10,20,12,8,0,3,15,11,0,4,2,0,0,10,5,47,0,43,72,52,52,0,0,17,9,3,3,2,9,9,9,3,3,1,18,18,2,0,0,0,2,2,2,1,1,1,0,0,0,10,10,0,33,0,29,16,44,26,57,16,13,0,44,2
sim-balanced-1p-010,playtester-bot-balance-2026-06-13-deal-10-1p,1,balanced,98,69,57,22,3,56,41,13,1,22,15,3,1,2,1,0,8,2,4,5,1,11,9,1,1,1,3,2,1,3,1,1,5,3,2,98,1,22,18,17,17,1,0,0,2,2,1,0,5,5,2,5,5,1,4,4,0,0,0,0,2,2,0,1,1,0,2,2,0,3,3,0,24,27,0,0,0,0,29,5,0,0,0,0
sim-balanced-2p-010,playtester-bot-balance-2026-06-13-deal-10-2p,2,balanced,187,98,111,35,14,37,43,61,38,33,1,3,5,8,1,15,5,2,8,10,8,6,6,0,0,1,14,4,1,5,0,0,0,5,2,94,0,35,42,37,37,1,0,0,4,0,4,1,7,7,7,5,5,4,15,15,3,1,1,0,0,0,0,2,2,0,1,1,0,4,4,0,12,31,29,1,18,2,70,0,6,0,26,6
sim-balanced-3p-010,playtester-bot-balance-2026-06-13-deal-10-3p,3,balanced,72,35,51,23,5,35,36,0,0,23,0,4,15,0,1,3,7,0,9,10,6,15,12,2,1,5,5,9,0,5,2,1,3,7,4,24,1,23,72,37,37,0,0,35,6,0,1,0,7,7,5,2,2,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,20,31,36,48,28,2,0,0,40,0
sim-balanced-4p-010,playtester-bot-balance-2026-06-13-deal-10-4p,4,balanced,260,30,248,43,24,25,80,5,123,26,0,3,5,12,0,6,6,1,15,18,13,18,7,11,0,1,24,14,1,3,2,0,0,10,7,65,0,43,75,61,61,1,0,0,9,2,2,2,9,9,9,0,0,0,18,18,13,1,1,1,2,2,0,3,3,1,0,0,0,10,10,0,46,10,51,1,48,63,48,22,12,0,45,1
sim-balanced-1p-011,playtester-bot-balance-2026-06-13-deal-11-1p,1,balanced,109,39,72,23,2,39,57,0,0,29,15,6,3,5,0,0,1,0,4,4,3,1,1,0,0,0,2,4,0,1,0,0,0,3,0,109,0,23,17,17,17,0,0,0,3,3,3,0,3,3,2,4,4,0,5,5,0,0,0,0,2,2,0,4,4,0,2,2,0,3,3,0,29,22,0,0,0,0,31,3,0,0,0,0
sim-balanced-2p-011,playtester-bot-balance-2026-06-13-deal-11-2p,2,balanced,141,83,96,33,9,47,63,36,3,36,12,4,2,4,14,0,10,3,8,11,6,16,14,1,1,4,9,3,1,8,1,0,0,4,5,71,0,33,44,41,41,1,0,0,4,0,1,1,9,9,6,5,5,3,8,8,0,0,0,0,0,0,0,4,4,0,3,3,0,4,4,0,33,27,12,6,10,2,63,7,45,0,0,0
sim-balanced-3p-011,playtester-bot-balance-2026-06-13-deal-11-3p,3,balanced,193,75,138,33,18,47,50,28,58,31,9,0,15,4,1,2,7,1,12,14,8,18,7,11,0,0,18,11,0,7,0,0,0,6,1,64,0,32,81,48,48,0,0,26,8,1,3,2,9,9,9,6,6,2,9,9,6,0,0,0,1,1,0,2,2,1,0,0,0,6,5,0,40,2,18,9,39,9,66,7,0,0,50,0
sim-balanced-4p-011,playtester-bot-balance-2026-06-13-deal-11-4p,4,balanced,171,30,219,39,25,15,41,15,133,12,0,3,0,9,0,0,24,5,17,21,11,34,28,6,0,3,25,12,1,9,3,3,4,5,10,43,3,39,53,49,49,1,0,0,8,6,0,7,9,9,9,2,2,1,18,18,15,2,2,0,2,2,0,2,2,0,0,0,0,4,4,0,33,0,41,1,42,19,61,0,0,0,48,0
